	Elements	row_number	group(column_number)
0	O	2	16
1	Li	2	1
2	Mg	3	2
3	P	3	15
4	F	2	17
5	Mn	4	7
6	Fe	4	8
7	Si	3	14
8	S	3	16
9	V	4	5
10	Cu	4	11
11	Co	4	9
12	Ni	4	10
13	Ca	4	2
14	Ba	6	2
15	Na	3	1
16	N	2	15
17	Ti	4	4
18	Cr	4	6
19	Zn	4	12
20	B	2	13
21	Al	3	13
22	K	4	1
23	Sn	5	14
24	Se	4	16
25	H	1	1
26	C	2	14
27	Sb	5	15
28	Ge	4	14
29	Bi	6	15
30	Sr	5	2
31	Cl	3	17
32	W	6	6
33	Mo	5	6
34	Te	5	16
35	Y	5	3
36	La	8	3
37	Rb	5	1
38	Nb	5	5
39	Ga	4	13
40	Ag	5	11
41	In	5	13
42	Cd	5	12
43	Cs	6	1
44	As	4	15
45	Ce	8	4
46	Pd	5	10
47	Zr	5	4
48	I	5	17
49	Tl	6	13
50	Au	6	11
51	Rh	5	9
52	Hf	6	4
53	Pb	6	14
54	Pt	6	10
55	Br	4	17
56	Ta	6	5
57	Nd	8	6
58	Hg	6	12
59	Sc	4	3
60	Sm	8	8
61	Ru	5	8
62	U	9	6
63	Pr	8	5
64	Ir	6	9
65	Yb	8	16
66	Ho	8	13
67	Er	8	14
68	Dy	8	12
69	Tb	8	11
70	Lu	8	17
71	Tm	8	15
72	Gd	8	10
73	Eu	8	9
74	Re	6	7
75	Os	6	8
76	Be	2	2
77	Th	9	4
78	Tc	5	7
79	Pu	9	8
