	main_element_list	EN_PAULING	EN_Allen	atomic_number	raw_number	column_number
0	H	2.2	13.61	1	1	1
1	Li	0.98	5.392	3	2	1
2	Na	0.93	5.14	11	3	1
3	K	0.82	4.34	19	4	1
4	Rb	0.82	4.177	37	5	1
5	Cs	0.79	3.898	55	6	1
6	Be	1.57	9.323	4	2	2
7	Mg	1.31	7.646	12	3	2
8	Ca	1.0	6.1129999999999995	20	4	2
9	Sr	0.95	5.695	38	5	2
10	Ba	0.89	5.211	56	6	2
11	B	2.04	12.13	5	2	13
12	Al	1.61	9.539	13	3	13
13	Ga	1.81	10.39	31	4	13
14	In	1.78	9.793	49	5	13
15	Tl	1.8		81	6	13
16	C	2.55	15.05	6	2	14
17	Si	1.9	11.33	14	3	14
18	Ge	2.01	11.8	32	4	14
19	Sn	1.96	10.79	50	5	14
20	Pb	1.8	10.97	82	6	14
21	N	3.04	18.13	7	2	15
22	P	2.19	13.33	15	3	15
23	As	2.18	13.08	33	4	15
24	Sb	2.05	11.74	51	5	15
25	Bi	1.9	11.9	83	6	15
26	O	3.44	21.36	8	2	16
27	S	2.58	15.31	16	3	16
28	Se	2.55	14.34	34	4	16
29	Te	2.1	12.76	52	5	16
30	F	3.98	24.8	9	2	17
31	Cl	3.16	16.97	17	3	17
32	Br	2.96	15.88	35	4	17
33	I	2.66	13.95	53	5	17
